	B cells naive	CAFs	T cells CD4 naive 	CD8_T cells	Endothelial	Macrophages M0	NK cells activated
CAMKMT	4.73283672750782	0	6.37058116959717	4.5476842871637	2.26821067148117	2.1248700441156	23.0179839732456
CAMKV	0	0	0.0293334284083568	0.0738077599936428	0	2.25967938419136	0
CAMLG	59.1834789859404	158.471997850353	70.4797101931614	63.056135014114	84.2118308411552	45.8958487490974	59.7729410833982
CAMP	13.5979063513053	0	0	0	0	0	0
CAMSAP1	3.55090308516655	4.04753492105862	3.13835644083584	2.42084263074809	1.49733130514444	1.74599008975335	11.4672804010108
CAMSAP2	0.0024192350295446	5.88472020152577	1.94223400569244	0.902124980970985	3.64365023686582	1.06764694819497	0
CAMSAP3	0.327221857918934	0	0	0.110441693295074	0	0	0
CAMTA1	68.8758966794041	47.9501866678061	53.2353500668851	55.8680356182446	70.971061231671	30.6588323640925	59.422779596471
CAMTA2	11.4702318711521	0.642508154990305	11.8959110881751	8.79650667530344	11.4491880554052	6.69377540699503	9.34368422609506
CAND1	28.4108572883003	21.871559985044	26.2115745583726	44.0731230913891	14.2154477716688	7.05060564989333	27.9333334189529
CAND2	0	0.192494262157111	3.7938320269381	1.97588629275124	11.2151149541712	0	0
CANT1	1.29997033481102	11.6399167847202	8.43184164961139	6.29925314467185	8.52453722398545	7.8546091460475	1.44066440090952
CANX	107.853379468531	147.845883383684	113.87560440009	186.645658291967	126.121274373064	203.322683738647	215.612207214731
CAP1	278.353288165984	71.4185112855307	321.5247572342	311.48146032736	147.540536250227	329.41513054033	598.110444449147
CAP2	0.0943522299277068	3.98363659265167	0.0303631659986425	1.36472538009565	0	5.1952135024915	11.4094778951776
CAPG	343.079973665376	323.621215669288	152.26399339392	98.7218800958941	0	707.765273862612	164.469390468696
CAPN1	85.2163945614983	138.570716930358	126.134392875569	91.8830368013498	46.7925395899971	66.0086827650688	125.48852443242
CAPN10	6.84317002561899	0	14.2564603915241	8.15295827581976	0	1.42731861688746	1.5955046338497
